,post_date,post_text
15,2021-05-24 14:12:00,"События 2020 года кардинально изменили экономику: торговля почти полностью перешла в онлайн 💰 
 
Гугл провёл анализ поисковых запросов и составил пять трендов на рынке → http://netolo.gy/gzy"
16,2021-05-24 08:01:00,"📚 31 мая стартует курс «Python-разработка для начинающих» 
 
За две недели узнаете, какие есть перспективы в профессии разработчика, научитесь кодить и построите карьерный план 🏃‍♀ 
 
Приступить можно с любым уровнем подготовки → http://netolo.gy/gAs"
17,2021-05-23 09:05:00,"Над созданием любой видеоигры работают программисты, геймдизайнеры, художники, звукорежиссёры и тестировщики. 
 
Авторы этих книг расскажут, почему не всегда у этих людей получается взять и просто нарисовать игру 👇
 
▪Кровь, пот и пиксели. Обратная сторона индустрии видеоигр, Шрейер Джейсон 
 
Книга о подноготной процесса создания компьютерных игр глазами самих разработчиков. Американский журналист Джейсон Шрейер собрал в своей книге истории разработки лучших компьютерных игр последних лет: Diablo III, Dragon Age: Inquisition, Witcher III и многих других. Книга особенно пригодится тем, кто мечтает стать частью игровой индустрии и хочет узнать, что прячется за фасадом известных проектов. 
 
▪Minecraft. Невероятная история Маркуса «Нотча» Перссона и игры, изменившей мир, Ларcсон Линус, Голдберг Даниэль 
 
История игры с простой графикой и многомиллионными оборотами. Как шведскому разработчику Маркусу Перссону удалось создать самую продаваемую игру в истории? На этот вопрос отвечает автор книги, который попытался разобраться в феномене невероятной популярности игры и объяснить, почему Minecraft — это история о том, как воплотить мечту в жизнь. 
 
▪Hey! Listen! Путешествие по золотому веку видеоигр, Макнил Стив 
 
Помните Марио? Автор этой книги, Стив Макнил, преданный фанат игр 70—90-х, расскажет об истоках игровой индустрии и о том, с чего всё начиналось. Книга для тех, кто хочет узнать, как появились законы любого игрового сюжета и откуда появились правила, которыми до сих пор пользуются многие разработчики современных игр. 
 
▪Время игр! Отечественная игровая индустрия в лицах и мечтах: от Parkan до World of Tanks, Подшибякин Андрей Михайлович 
 
Несмотря на то, что в России до 2000-х компьютеры долгое время были недосягаемой для многих мечтой, это не помешало развитию игровой индустрии. Эта книга об истории создания самых успешных отечественных игровых проектов: World of Tanks, S.T.A.L.K.E.R, «Дальнобойщиков» и некоторых других. Бонусом автор расскажет, почему не получилось создать свой аналог «World of Warcraft» и почему не у всех игр получается стать суперхитами. 
 
 
▪Реальность под вопросом. Почему игры делают нас лучше и как они могут изменить мир, Макгонигал Джейн 
 
Пока бабушки на лавочках вопрошают в духе «Это всё ваши компуктеры!», Джейн Макгониал рассказывает, как игры помогли ей справиться с серьёзной травмой. Джейн пишет о том, как игры помогают нашему мозгу лучше работать, находить новые пути решения сложных задач и даже справляться с депрессией. Прочитав эту книгу, вы станете лучше разбираться в принципах игрового процесса и поймёте, что не всякая игра — пустая трата времени."
18,2021-05-22 15:31:00,"В афише — события для дизайнеров, программистов и предпринимателей 💼"
19,2021-05-22 08:26:00,"Как бы Инстаграм и ТикТок ни пытались захватить рынок видео, Ютуб остаётся самой популярной площадкой для длинных роликов 🎞 
 
Собрали подборку статей для всех, кто хочет продвигаться на Ютубе: 
 
◼ Ютуб: как продвигать канал и какие SEO-инструменты в этом помогут → http://netolo.gy/gyy 
 
◼ Как подготовить Ютуб-канал к продвижению: 5 ключевых шагов → http://netolo.gy/gyz 
 
◼ Видеореклама на Ютубе: обзор форматов → http://netolo.gy/gyA 
 
◼ Как подогреть интерес поколения Х к Ютубу: рекомендации от Google → http://netolo.gy/gyB 

◼ Как оформить видео для YouTube → http://netolo.gy/gyC"
20,2021-05-21 13:00:09,"Вместе с коллегами из vc.ru запускаем серию опросов, чтобы вы смогли проверить свои знания 🤓 
 
Первая задача — определить, какой сайт больше посещают: Wikipedia или Pornhub → http://netolo.gy/gAm"
21,2021-05-21 07:17:00,"Не знать, что делать на старте карьеры — нормально 😉 
 
На бесплатных занятиях узнаете, как составлять резюме, что делать с синдромом самозванца и как войти в новую профессию: 
 
🔷 24 мая, 15:00 — Как сменить профессию, если не знаешь, кем хочешь стать 
Узнаете, как выглядит схема профориентации, определите комфортную форму занятости, познакомитесь с диджитал-профессиями → http://netolo.gy/gyt 
 
🔷 24 мая, 19:00 — Как стать Java-разработчиком с нуля 
Поговорим о плюсах и минусах Java, разберёмся, подходит ли язык программирования новичкам и какие нужны скиллы для входа в профессию → http://netolo.gy/gyu 
 
🔷 25 мая, 17:00 — Как перестать сомневаться в своих профессиональных достижениях 
Почему появляется профессиональная неуверенность, как синдром самозванца связан со стрессом, что сделать, чтобы избавиться от страха — узнаете на занятии → http://netolo.gy/gyv 
 
🔷 25 мая, 19:00 — Как начинающим режиссёрам и сценаристам продвигать свои проекты 
Научитесь искать питчинги в России, презентовать свои проекты и готовить фильмы к фестивальному прокату → http://netolo.gy/gyw
 
🔷 26 мая, 18:00 — Как составить резюме, которое заметят 
Разбор кейсов, навыки написания резюме и алгоритм поиска работы — всё здесь → http://netolo.gy/gyx"
22,2021-05-20 15:49:00,"Причин, по которым мы в три часа ночи скроллим ленту ТикТока или Инстаграм, может быть много: от социально-психологических до физиологических. 
 
За счёт чего соцсетям это удаётся 👇"
23,2021-05-20 08:14:00,"В очередном выпуске НетоNews поговорим о путешествии Dogecoin в космос, первом полёте дрона на Марсе и троллинге Фейсбука мессенджером Сигнал 😜 
 
Берите попкорн и скорее смотрите ролик → http://netolo.gy/gy5"
24,2021-05-19 13:10:07,"Терпение, труд, май — у нас конкурс, разыгрываем доступ к курсу по тайм-менеджменту 💼
        
Правила конкурса:
🔷 Под этим постом напишите комментарий со словом «тайм-менеджмент». Ваш комментарий должен продержаться последним 15 минут.
🔷 Каждый участник имеет 15 попыток с минимальным интервалом в 1 минуту.
🔷 Участвовать могут только подписчики нашей группы. За репост дарим дополнительные попытки.

🎁 Самому терпеливому участнику подарим доступ к курсу → http://netolo.gy/gzq"
